protein_id	protein_name	copy_number	cluster_id
GDKOHJ_20700	IS6 family IS15DIV transposase	5	GDKOHJ_20700
GDKOHJ_14775	IS3 family transposase	5	GDKOHJ_14670
GDKOHJ_14770	IS3 family IS1203 transposase ORF A	4	GDKOHJ_14675
GDKOHJ_14675	IS3 family IS3411 transposase ORF A	4	GDKOHJ_14675
GDKOHJ_23800	IS3 family IS629 transposase ORF A	4	GDKOHJ_14675
GDKOHJ_24300	IS3 family IS1203 transposase ORF A	4	GDKOHJ_14675
GDKOHJ_20070	IS3 family IS2 transposase ORF B	4	GDKOHJ_03800
GDKOHJ_14735	IS3 family IS2 transposase ORF B	4	GDKOHJ_03800
GDKOHJ_06545	IS3 family IS2 transposase ORF B	4	GDKOHJ_03800
GDKOHJ_03800	IS3 family IS2 transposase ORF B	4	GDKOHJ_03800
GDKOHJ_24750	Tail fiber domain protein	4	GDKOHJ_25525
GDKOHJ_24745	prophage tail fiber N-terminal domain-containing protein	4	GDKOHJ_25525
GDKOHJ_23565	Prophage side tail fiber protein	4	GDKOHJ_25525
GDKOHJ_25525	Prophage side tail fiber protein	4	GDKOHJ_25525
GDKOHJ_24760	3'-5' exonuclease	3	GDKOHJ_24370
GDKOHJ_25530	Opacity protein LomR and related surface antigens	3	GDKOHJ_23570
GDKOHJ_24740	Opacity protein LomR and related surface antigens	3	GDKOHJ_23570
GDKOHJ_23570	Opacity protein LomR and related surface antigens	3	GDKOHJ_23570
GDKOHJ_16395	IS200/IS605-like element IS200C family transposase	3	GDKOHJ_16395
GDKOHJ_21180	IS200/IS605-like element IS200C family transposase	3	GDKOHJ_16395
GDKOHJ_22425	IS200/IS605-like element IS200C family transposase	3	GDKOHJ_16395
GDKOHJ_25520	Prophage protein	3	GDKOHJ_23560
GDKOHJ_24755	Prophage protein	3	GDKOHJ_23560
GDKOHJ_23560	Prophage protein	3	GDKOHJ_23560
GDKOHJ_14620	IS3 family ISSd1 transposase ORF A	3	GDKOHJ_14685
GDKOHJ_23575	Host specificity protein J	3	GDKOHJ_23575
GDKOHJ_06465	IS3 family ISSfl10 transposase ORF A	3	GDKOHJ_14685
GDKOHJ_25535	Host specificity protein J	3	GDKOHJ_23575
GDKOHJ_23580	Phage-related protein, tail assembly protein I	3	GDKOHJ_23580
GDKOHJ_24730	Phage-related protein, tail assembly protein I	3	GDKOHJ_23580
GDKOHJ_25540	Phage-related protein, tail assembly protein I	3	GDKOHJ_23580
GDKOHJ_23585	Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif	3	GDKOHJ_23585
GDKOHJ_24725	Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif	3	GDKOHJ_23585
GDKOHJ_25545	Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif	3	GDKOHJ_23585
GDKOHJ_23590	phage minor tail protein L	3	GDKOHJ_23590
GDKOHJ_24720	phage minor tail protein L	3	GDKOHJ_23590
GDKOHJ_25550	phage minor tail protein L	3	GDKOHJ_23590
GDKOHJ_00005	3'-5' exonuclease	3	GDKOHJ_24370
GDKOHJ_24735	Host specificity protein J	3	GDKOHJ_23575
GDKOHJ_14685	Transposase	3	GDKOHJ_14685
GDKOHJ_06485	IS3 family transposase	3	GDKOHJ_06485
GDKOHJ_25410	IS3 family transposase	3	GDKOHJ_06485
GDKOHJ_06460	Putative transposase InsO for insertion sequence element IS911B	3	GDKOHJ_06485
GDKOHJ_24370	DNA polymerase III, epsilon subunit or related 3'-5' exonuclease	3	GDKOHJ_24370
GDKOHJ_25420	Putative transposase InsN for insertion sequence element IS911A	3	GDKOHJ_25420
GDKOHJ_06490	IS3 family transposase ORF A	3	GDKOHJ_25420
GDKOHJ_07315	IS3 family transposase ORF A	3	GDKOHJ_25420
GDKOHJ_07575	DNA repair protein RadC, contains a helix-hairpin-helix DNA-binding motif	2	GDKOHJ_06345
GDKOHJ_06345	DNA repair protein RadC, contains a helix-hairpin-helix DNA-binding motif	2	GDKOHJ_06345
GDKOHJ_06340	Uncharacterized protein YeeT	2	GDKOHJ_06340
GDKOHJ_24575	Anti-adapter protein IraM	2	GDKOHJ_23610
GDKOHJ_07590	Antitoxin of the YeeV-YeeU toxin-antitoxin system; CP4-44 prophage	2	GDKOHJ_06330
GDKOHJ_06330	YagB/YeeU/YfjZ family protein	2	GDKOHJ_06330
GDKOHJ_23615	Phage protein	2	GDKOHJ_23615
GDKOHJ_24605	Phage protein	2	GDKOHJ_23615
GDKOHJ_23620	SAR-endolysin	2	GDKOHJ_23620
GDKOHJ_24610	SAR-endolysin	2	GDKOHJ_23620
GDKOHJ_23625	Transmembrane protein	2	GDKOHJ_23625
GDKOHJ_24615	Transmembrane protein	2	GDKOHJ_23625
GDKOHJ_23630	hypothetical protein	2	GDKOHJ_23630
GDKOHJ_24620	hypothetical protein	2	GDKOHJ_23630
GDKOHJ_23730	Replication protein	2	GDKOHJ_23730
GDKOHJ_23735	protein rep	2	GDKOHJ_23730
GDKOHJ_24515	type I toxin-antitoxin system toxin HokD	2	GDKOHJ_24515
GDKOHJ_06355	DUF945 domain-containing protein	2	GDKOHJ_06355
GDKOHJ_24420	Bacterial toxin YdaT domain-containing protein	2	GDKOHJ_25580
GDKOHJ_25580	Bacterial toxin YdaT domain-containing protein	2	GDKOHJ_25580
GDKOHJ_24405	DUF1391 domain-containing protein	2	GDKOHJ_25565
GDKOHJ_25565	Prophage protein	2	GDKOHJ_25565
GDKOHJ_24395	Prophage protein	2	GDKOHJ_25555
GDKOHJ_25555	Prophage protein	2	GDKOHJ_25555
GDKOHJ_08595	elongation factor Tu	2	GDKOHJ_08595
GDKOHJ_25605	type I toxin-antitoxin system toxin HokD	2	GDKOHJ_24515
GDKOHJ_25310	Ybl63	2	GDKOHJ_25310
GDKOHJ_25515	Ybl63	2	GDKOHJ_25310
GDKOHJ_25285	NADP-dependent isocitrate dehydrogenase	2	GDKOHJ_25445
GDKOHJ_25445	NADP-dependent isocitrate dehydrogenase	2	GDKOHJ_25445
GDKOHJ_08720	D-mannonate dehydratase ManD	2	GDKOHJ_08720
GDKOHJ_22365	starvation-sensing protein RspA	2	GDKOHJ_08720
GDKOHJ_14680	Transposase and inactivated derivatives, IS30 family	2	GDKOHJ_25415
GDKOHJ_25415	IS30 family IS30 transposase	2	GDKOHJ_25415
GDKOHJ_12535	translation elongation factor EF-Tu 1	2	GDKOHJ_08595
GDKOHJ_07565	Aec71	2	GDKOHJ_06355
GDKOHJ_23610	Anti-adapter protein IraM	2	GDKOHJ_23610
GDKOHJ_22800	PAAR repeat-containing protein	2	GDKOHJ_04435
GDKOHJ_04435	Type VI secretion system PAAR protein	2	GDKOHJ_04435
GDKOHJ_06470	IS3 family ISSd1 transposase ORF B	2	GDKOHJ_06470
GDKOHJ_14615	IS3 family ISSd1 transposase	2	GDKOHJ_06470
GDKOHJ_15650	Type VI secretion system tip protein VgrG	2	GDKOHJ_15635
GDKOHJ_15635	Type VI secretion system tip protein VgrG	2	GDKOHJ_15635
GDKOHJ_01070	DMSO/selenate family reductase complex B subunit	2	GDKOHJ_01070
GDKOHJ_07285	ShiA-like protein	2	GDKOHJ_07285
GDKOHJ_14835	Integrase/recombinase, includes phage integrase	2	GDKOHJ_07280
GDKOHJ_07280	Integrase/recombinase, includes phage integrase	2	GDKOHJ_07280
GDKOHJ_22085	class I fumarate hydratase	2	GDKOHJ_07670
GDKOHJ_07670	class I fumarate hydratase	2	GDKOHJ_07670
GDKOHJ_06350	Antirestriction protein	2	GDKOHJ_07570
GDKOHJ_07570	Antirestriction protein	2	GDKOHJ_07570
GDKOHJ_22325	DMSO/selenate family reductase complex B subunit	2	GDKOHJ_01070
GDKOHJ_14830	Tetratricopeptide repeat protein	2	GDKOHJ_07285
GDKOHJ_24400	Uncharacterized protein YdfB	2	GDKOHJ_24400
GDKOHJ_25560	Uncharacterized protein YdfB	2	GDKOHJ_24400
GDKOHJ_20345	Outer membrane porin OmpC/OmpF/PhoE	2	GDKOHJ_20345
GDKOHJ_25335	Outer membrane porin OmpC/OmpF/PhoE	2	GDKOHJ_20345
GDKOHJ_05100	Bacteriocin immunity protein	2	GDKOHJ_05100
GDKOHJ_05110	Bacteriocin immunity protein	2	GDKOHJ_05100
GDKOHJ_19385	colanic acid biosynthesis phosphomannomutase CpsG	2	GDKOHJ_19385
GDKOHJ_19485	colanic acid biosynthesis phosphomannomutase CpsG	2	GDKOHJ_19385
GDKOHJ_11585	glutamate decarboxylase	2	GDKOHJ_11585
GDKOHJ_22625	glutamate decarboxylase	2	GDKOHJ_11585
GDKOHJ_13560	InsB	2	GDKOHJ_13560
GDKOHJ_23885	InsB	2	GDKOHJ_13560
GDKOHJ_24165	Ribonuclease/mRNA interferase VapC, contains PIN domain	2	GDKOHJ_24150
GDKOHJ_24150	tRNA(fMet)-specific endonuclease VapC	2	GDKOHJ_24150
GDKOHJ_24160	VagC	2	GDKOHJ_24145
GDKOHJ_24145	AbrB/MazE/SpoVT family DNA-binding domain-containing protein	2	GDKOHJ_24145
GDKOHJ_07580	CP4-44 prophage	2	GDKOHJ_06340
GDKOHJ_25510	Methyltransferase type 12 domain-containing protein	2	GDKOHJ_02760
GDKOHJ_02660	type I toxin-antitoxin system toxin HokE	2	GDKOHJ_02670
GDKOHJ_02670	Hok/gef family protein	2	GDKOHJ_02670
GDKOHJ_02760	Methyltransferase type 12 domain-containing protein	2	GDKOHJ_02760
GDKOHJ_25095	ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component	1	GDKOHJ_25095
GDKOHJ_25100	putative methyltransferase, contains TPR repeat	1	GDKOHJ_25100
GDKOHJ_25105	Putative pyrophosphorylase ModD	1	GDKOHJ_25105
GDKOHJ_25110	Outer membrane receptor for ferrienterochelin and colicins	1	GDKOHJ_25110
GDKOHJ_25115	UPF0410 protein YmgE	1	GDKOHJ_25115
GDKOHJ_24975	putative cation transport regulator ChaB	1	GDKOHJ_24975
GDKOHJ_25120	Flagellar brake protein YcgR	1	GDKOHJ_25120
GDKOHJ_25125	membrane-bound lytic murein transglycosylase EmtA	1	GDKOHJ_25125
GDKOHJ_25135	potassium/proton antiporter	1	GDKOHJ_25135
GDKOHJ_25140	catabolic alanine racemase DadX	1	GDKOHJ_25140
GDKOHJ_10550	putative transporter	1	GDKOHJ_10550
GDKOHJ_25195	Protein YcgL	1	GDKOHJ_25195
GDKOHJ_25145	D-amino acid dehydrogenase	1	GDKOHJ_25145
GDKOHJ_25150	SpoVR family protein	1	GDKOHJ_25150
GDKOHJ_25155	fatty acid metabolism transcriptional regulator FadR	1	GDKOHJ_25155
GDKOHJ_25160	Na(+)/H(+) antiporter NhaB	1	GDKOHJ_25160
GDKOHJ_25165	disulfide bond formation protein DsbB	1	GDKOHJ_25165
GDKOHJ_25170	DNA polymerase V catalytic protein	1	GDKOHJ_25170
GDKOHJ_25175	SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase)	1	GDKOHJ_25175
GDKOHJ_25185	YcgN family cysteine cluster protein	1	GDKOHJ_25185
GDKOHJ_25190	fumarylacetoacetate hydrolase family protein	1	GDKOHJ_25190
GDKOHJ_25130	muramoyltetrapeptide carboxypeptidase	1	GDKOHJ_25130
GDKOHJ_25020	glutamyl-tRNA reductase	1	GDKOHJ_25020
GDKOHJ_25025	lipoprotein insertase outer membrane protein LolB	1	GDKOHJ_25025
GDKOHJ_25030	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	1	GDKOHJ_25030
GDKOHJ_25035	ribose-phosphate diphosphokinase	1	GDKOHJ_25035
GDKOHJ_25040	C4-dicarboxylic acid transporter DauA	1	GDKOHJ_25040
GDKOHJ_25045	stress-induced protein YchH	1	GDKOHJ_25045
GDKOHJ_25015	peptide chain release factor 1	1	GDKOHJ_25015
GDKOHJ_25010	peptide chain release factor N(5)-glutamine methyltransferase	1	GDKOHJ_25010
GDKOHJ_10540	small heat shock chaperone IbpA	1	GDKOHJ_10540
GDKOHJ_10545	small heat shock chaperone IbpB	1	GDKOHJ_10545
GDKOHJ_25050	aminoacyl-tRNA hydrolase	1	GDKOHJ_25050
GDKOHJ_25055	redox-regulated ATPase YchF	1	GDKOHJ_25055
GDKOHJ_25090	ABC-type Fe3+-siderophore transport system, permease component	1	GDKOHJ_25090
GDKOHJ_25065	dihydroxyacetone kinase subunit DhaK	1	GDKOHJ_25065
GDKOHJ_25070	dihydroxyacetone kinase subunit DhaL	1	GDKOHJ_25070
GDKOHJ_25075	dihydroxyacetone kinase phosphoryl donor subunit DhaM	1	GDKOHJ_25075
GDKOHJ_25080	alpha,alpha-trehalase	1	GDKOHJ_25080
GDKOHJ_25085	putative ATP-binding protein of ABC transporter	1	GDKOHJ_25085
GDKOHJ_25005	invasion regulator SirB2	1	GDKOHJ_25005
GDKOHJ_25000	invasion regulator SirB1	1	GDKOHJ_25000
GDKOHJ_10535	Uncharacterized protein YidQ	1	GDKOHJ_10535
GDKOHJ_10530	Uncharacterized protein YidR	1	GDKOHJ_10530
GDKOHJ_24995	3-deoxy-8-phosphooctulonate synthase	1	GDKOHJ_24995
GDKOHJ_24990	Toxic polypeptide	1	GDKOHJ_24990
GDKOHJ_24980	sodium-potassium/proton antiporter ChaA	1	GDKOHJ_24980
GDKOHJ_25060	dihydroxyacetone kinase operon transcriptional regulator DhaR	1	GDKOHJ_25060
GDKOHJ_10470	DNA replication/repair protein RecF	1	GDKOHJ_10470
GDKOHJ_10465	DNA polymerase III subunit beta	1	GDKOHJ_10465
GDKOHJ_25315	Prophage protein	1	GDKOHJ_25315
GDKOHJ_25320	Lambda-like tail fibre protein N-terminal domain-containing protein	1	GDKOHJ_25320
GDKOHJ_25325	Phage-related protein, tail protein J	1	GDKOHJ_25325
GDKOHJ_25330	phage lysis protein EssD	1	GDKOHJ_25330
GDKOHJ_25340	antitermination protein QuuD	1	GDKOHJ_25340
GDKOHJ_25345	Orf33, orf151, orf56, orf96, rus, orf45, orf8, orf127, and nmpC genes	1	GDKOHJ_25345
GDKOHJ_10455	chromosomal replication initiator protein DnaA	1	GDKOHJ_10455
GDKOHJ_10450	Protein YsdD	1	GDKOHJ_10450
GDKOHJ_25350	YlcG family protein	1	GDKOHJ_25350
GDKOHJ_25355	crossover junction endodeoxyribonuclease RusA	1	GDKOHJ_25355
GDKOHJ_10445	50S ribosomal protein L34	1	GDKOHJ_10445
GDKOHJ_10440	ribonuclease P protein component	1	GDKOHJ_10440
GDKOHJ_25215	septum site-determining protein MinD	1	GDKOHJ_25215
GDKOHJ_25365	Prophage NinE-like protein	1	GDKOHJ_25365
GDKOHJ_10435	membrane protein insertase YidC	1	GDKOHJ_10435
GDKOHJ_10430	tRNA modification GTPase MnmE	1	GDKOHJ_10430
GDKOHJ_10425	tryptophanase leader peptide	1	GDKOHJ_10425
GDKOHJ_10420	tryptophanase	1	GDKOHJ_10420
GDKOHJ_10415	low affinity tryptophan permease TnaB	1	GDKOHJ_10415
GDKOHJ_10410	multidrug efflux MFS transporter MdtL	1	GDKOHJ_10410
GDKOHJ_10405	HTH-type transcriptional regulator YidZ	1	GDKOHJ_10405
GDKOHJ_10400	Uncharacterized protein YieE	1	GDKOHJ_10400
GDKOHJ_10395	class I chromate reductase YieF	1	GDKOHJ_10395
GDKOHJ_10390	adenine permease AdeP	1	GDKOHJ_10390
GDKOHJ_10385	6-phosphogluconate phosphatase	1	GDKOHJ_10385
GDKOHJ_10380	Inner membrane protein CbrB	1	GDKOHJ_10380
GDKOHJ_10375	glucosamine-6-phosphate deaminase	1	GDKOHJ_10375
GDKOHJ_10370	Uncharacterized protein YieL	1	GDKOHJ_10370
GDKOHJ_25360	Putative nuclease YbcO	1	GDKOHJ_25360
GDKOHJ_25200	Inhibitor of g-type lysozyme	1	GDKOHJ_25200
GDKOHJ_25205	Uncharacterized protein YcgJ	1	GDKOHJ_25205
GDKOHJ_25210	septum site-determining protein MinC	1	GDKOHJ_25210
GDKOHJ_10555	Uncharacterized HTH-type transcriptional regulator YidL	1	GDKOHJ_10555
GDKOHJ_25220	cell division topological specificity factor MinE	1	GDKOHJ_25220
GDKOHJ_10525	Protein CbrA	1	GDKOHJ_10525
GDKOHJ_10520	D-galactonate transporter	1	GDKOHJ_10520
GDKOHJ_25225	UPF0757 protein YmgG	1	GDKOHJ_25225
GDKOHJ_25230	Uncharacterized protein YmgD	1	GDKOHJ_25230
GDKOHJ_25235	Outer membrane autotransporter barrel domain-containing protein	1	GDKOHJ_25235
GDKOHJ_25240	Porin	1	GDKOHJ_25240
GDKOHJ_25245	ATPase	1	GDKOHJ_25245
GDKOHJ_25250	EAL domain-containing protein	1	GDKOHJ_25250
GDKOHJ_25255	Uncharacterized protein YmgC	1	GDKOHJ_25255
GDKOHJ_25305	iron/manganese ABC transporter permease subunit SitD	1	GDKOHJ_25305
GDKOHJ_25265	regulatory protein YcgZ	1	GDKOHJ_25265
GDKOHJ_25270	blue light-responsive regulator BluF	1	GDKOHJ_25270
GDKOHJ_10515	galactonate dehydratase	1	GDKOHJ_10515
GDKOHJ_10510	2-dehydro-3-deoxy-6-phosphogalactonate aldolase	1	GDKOHJ_10510
GDKOHJ_25275	DNA-binding transcriptional repressor BluR	1	GDKOHJ_25275
GDKOHJ_25280	Uncharacterized protein YcgX	1	GDKOHJ_25280
GDKOHJ_10505	2-dehydro-3-deoxygalactonokinase	1	GDKOHJ_10505
GDKOHJ_10500	D-galactonate utilization transcriptional regulator DgoR	1	GDKOHJ_10500
GDKOHJ_10495	Lipoprotein	1	GDKOHJ_10495
GDKOHJ_10490	sugar-phosphatase	1	GDKOHJ_10490
GDKOHJ_25290	iron/manganese ABC transporter substrate-binding protein SitA	1	GDKOHJ_25290
GDKOHJ_25295	iron/manganese ABC transporter ATP-binding protein SitB	1	GDKOHJ_25295
GDKOHJ_10485	DUF937 domain-containing protein	1	GDKOHJ_10485
GDKOHJ_10475	DNA topoisomerase (ATP-hydrolyzing) subunit B	1	GDKOHJ_10475
GDKOHJ_25300	iron/manganese ABC transporter permease subunit SitC	1	GDKOHJ_25300
GDKOHJ_25260	biofilm/acid-resistance regulator AriR	1	GDKOHJ_25260
GDKOHJ_24805	cardiolipin synthase ClsA	1	GDKOHJ_24805
GDKOHJ_24810	cardiolipin synthase	1	GDKOHJ_24810
GDKOHJ_24815	murein tripeptide/oligopeptide ABC transporter ATP-binding protein OppF	1	GDKOHJ_24815
GDKOHJ_24820	murein tripeptide/oligopeptide ABC transporter ATP-binding protein OppD	1	GDKOHJ_24820
GDKOHJ_24825	oligopeptide ABC transporter permease OppC	1	GDKOHJ_24825
GDKOHJ_24830	oligopeptide ABC transporter permease OppB	1	GDKOHJ_24830
GDKOHJ_24835	oligopeptide ABC transporter substrate-binding protein OppA	1	GDKOHJ_24835
GDKOHJ_24840	hypothetical protein	1	GDKOHJ_24840
GDKOHJ_24845	Allantoinase	1	GDKOHJ_24845
GDKOHJ_24850	NAAT family transporter YchE	1	GDKOHJ_24850
GDKOHJ_24855	YchE family NAAT transporter	1	GDKOHJ_24855
GDKOHJ_24860	bifunctional acetaldehyde-CoA/alcohol dehydrogenase	1	GDKOHJ_24860
GDKOHJ_24865	IS4 family transposase	1	GDKOHJ_24865
GDKOHJ_10570	Inner membrane protein YidH	1	GDKOHJ_10570
GDKOHJ_24875	histone-like nucleoid-structuring protein H-NS	1	GDKOHJ_24875
GDKOHJ_24880	UTP--glucose-1-phosphate uridylyltransferase GalU	1	GDKOHJ_24880
GDKOHJ_24885	two-component system response regulator RssB	1	GDKOHJ_24885
GDKOHJ_24590	DUF826 domain-containing protein	1	GDKOHJ_24590
GDKOHJ_24585	DUF1737 domain-containing protein	1	GDKOHJ_24585
GDKOHJ_24550	antitermination protein	1	GDKOHJ_24550
GDKOHJ_10830	bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase	1	GDKOHJ_10830
GDKOHJ_10825	tRNA (guanosine(18)-2'-O)-methyltransferase TrmH	1	GDKOHJ_10825
GDKOHJ_10820	ATP-dependent DNA helicase RecG	1	GDKOHJ_10820
GDKOHJ_10815	sodium/glutamate symporter	1	GDKOHJ_10815
GDKOHJ_10810	xanthine/proton symporter XanP	1	GDKOHJ_10810
GDKOHJ_10805	AsmA family protein YicH	1	GDKOHJ_10805
GDKOHJ_10800	D-lyxose/D-mannose family sugar isomerase	1	GDKOHJ_10800
GDKOHJ_24870	thymidine kinase	1	GDKOHJ_24870
GDKOHJ_24635	hypothetical protein	1	GDKOHJ_24635
GDKOHJ_24640	Putative endonuclease from phage origin	1	GDKOHJ_24640
GDKOHJ_24645	Phage terminase, small subunit	1	GDKOHJ_24645
GDKOHJ_24650	Phage terminase-like protein, large subunit, contains N-terminal HTH domain	1	GDKOHJ_24650
GDKOHJ_24630	Bacteriophage protein	1	GDKOHJ_24630
GDKOHJ_24625	Rz1 family lipoprotein	1	GDKOHJ_24625
GDKOHJ_24655	phage major capsid protein	1	GDKOHJ_24655
GDKOHJ_24660	Bacteriophage protein	1	GDKOHJ_24660
GDKOHJ_24665	phage portal protein	1	GDKOHJ_24665
GDKOHJ_24670	Phage portal protein	1	GDKOHJ_24670
GDKOHJ_24675	head-tail connector protein	1	GDKOHJ_24675
GDKOHJ_24680	phage head closure protein	1	GDKOHJ_24680
GDKOHJ_24685	HK97-gp10 family putative phage morphogenesis protein	1	GDKOHJ_24685
GDKOHJ_24800	voltage-gated potassium channel protein	1	GDKOHJ_24800
GDKOHJ_24695	Phage tail protein	1	GDKOHJ_24695
GDKOHJ_24700	Phage tail protein	1	GDKOHJ_24700
GDKOHJ_24705	DUF4035 domain-containing protein	1	GDKOHJ_24705
GDKOHJ_24710	Phage-related minor tail protein	1	GDKOHJ_24710
GDKOHJ_24715	Phage tail protein	1	GDKOHJ_24715
GDKOHJ_24765	Integrase	1	GDKOHJ_24765
GDKOHJ_24770	outer membrane protein OmpW	1	GDKOHJ_24770
GDKOHJ_24775	YciC family protein	1	GDKOHJ_24775
GDKOHJ_24780	septation protein A	1	GDKOHJ_24780
GDKOHJ_24785	acyl-CoA thioester hydrolase YciA	1	GDKOHJ_24785
GDKOHJ_24790	TonB system transport protein TonB	1	GDKOHJ_24790
GDKOHJ_24600	YdfR family protein	1	GDKOHJ_24600
GDKOHJ_24595	Class II holin family protein	1	GDKOHJ_24595
GDKOHJ_24795	YciI family protein	1	GDKOHJ_24795
GDKOHJ_24690	Gp11	1	GDKOHJ_24690
GDKOHJ_24925	nitrate reductase molybdenum cofactor assembly chaperone	1	GDKOHJ_24925
GDKOHJ_24930	nitrate reductase subunit beta	1	GDKOHJ_24930
GDKOHJ_24935	nitrate reductase subunit alpha	1	GDKOHJ_24935
GDKOHJ_24940	nitrate transporter NarK	1	GDKOHJ_24940
GDKOHJ_10650	lipoprotein NlpA	1	GDKOHJ_10650
GDKOHJ_10645	Uncharacterized protein YicS	1	GDKOHJ_10645
GDKOHJ_10640	purine ribonucleoside efflux pump NepI	1	GDKOHJ_10640
GDKOHJ_10635	Uncharacterized protein YicN	1	GDKOHJ_10635
GDKOHJ_10630	adenine permease AdeQ	1	GDKOHJ_10630
GDKOHJ_10625	adenine deaminase	1	GDKOHJ_10625
GDKOHJ_24945	hypothetical protein	1	GDKOHJ_24945
GDKOHJ_24950	nitrate/nitrite two-component system sensor histidine kinase NarX	1	GDKOHJ_24950
GDKOHJ_24955	nitrate/nitrite two-component system sensor histidine kinase NarX	1	GDKOHJ_24955
GDKOHJ_10795	Putative sugar kinase/transcriptional regulator ATPase domain	1	GDKOHJ_10795
GDKOHJ_10620	hexose-6-phosphate:phosphate antiporter	1	GDKOHJ_10620
GDKOHJ_10615	MFS transporter family glucose-6-phosphate receptor UhpC	1	GDKOHJ_10615
GDKOHJ_10610	signal transduction histidine-protein kinase/phosphatase UhpB	1	GDKOHJ_10610
GDKOHJ_10605	DNA-binding response regulator UhpA	1	GDKOHJ_10605
GDKOHJ_10600	acetolactate synthase small subunit	1	GDKOHJ_10600
GDKOHJ_10595	Acetolactate synthase	1	GDKOHJ_10595
GDKOHJ_10590	Protein YsdE	1	GDKOHJ_10590
GDKOHJ_10585	multidrug efflux MFS transporter EmrD	1	GDKOHJ_10585
GDKOHJ_10580	Sulfatase maturation enzyme AslB, radical SAM superfamily	1	GDKOHJ_10580
GDKOHJ_10575	Inner membrane protein YidG	1	GDKOHJ_10575
GDKOHJ_10565	Uncharacterized sulfatase YidJ	1	GDKOHJ_10565
GDKOHJ_24965	DsrE/F sulfur relay family protein YchN	1	GDKOHJ_24965
GDKOHJ_24970	glutathione-specific gamma-glutamylcyclotransferase	1	GDKOHJ_24970
GDKOHJ_10560	solute:sodium symporter family transporter	1	GDKOHJ_10560
GDKOHJ_24960	inverse autotransporter invasin YchO	1	GDKOHJ_24960
GDKOHJ_10790	Fructose/tagatose bisphosphate aldolase	1	GDKOHJ_10790
GDKOHJ_10785	Aldolase	1	GDKOHJ_10785
GDKOHJ_10780	Phosphotransferase system, fructose-specific IIC component	1	GDKOHJ_10780
GDKOHJ_10775	Phosphotransferase system fructose-specific component IIB	1	GDKOHJ_10775
GDKOHJ_10770	Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type)	1	GDKOHJ_10770
GDKOHJ_10765	PRD domain-containing protein	1	GDKOHJ_10765
GDKOHJ_10760	alpha-xylosidase	1	GDKOHJ_10760
